subscription_id,subscriber_id,subscribed_to_id,subscription_date
SYOj0200,UC_YO1yjS2,UC_YO193yjS194,2023-12-13
SYOj1201,UC_YO1yjS2,UC_YO36yjS37,2022-10-28
SYOj2202,UC_YO1yjS2,UC_YO30yjS31,2020-02-25
SYOj3203,UC_YO1yjS2,UC_YO147yjS148,2022-06-23
SYOj4204,UC_YO1yjS2,UC_YO116yjS117,2022-05-22
SYOj5205,UC_YO1yjS2,UC_YO26yjS27,2022-10-01
SYOj6206,UC_YO1yjS2,UC_YO102yjS103,2020-04-04
SYOj7207,UC_YO1yjS2,UC_YO56yjS57,2020-04-04
SYOj8208,UC_YO1yjS2,UC_YO197yjS198,2020-12-10
SYOj9209,UC_YO1yjS2,UC_YO142yjS143,2023-04-28
SYOj10210,UC_YO1yjS2,UC_YO65yjS66,2022-12-15
SYOj11211,UC_YO1yjS2,UC_YO163yjS164,2020-08-03
SYOj12212,UC_YO1yjS2,UC_YO196yjS197,2022-02-02
SYOj13213,UC_YO1yjS2,UC_YO112yjS113,2020-05-14
SYOj14214,UC_YO1yjS2,UC_YO169yjS170,2023-05-14
SYOj15215,UC_YO1yjS2,UC_YO129yjS130,2024-03-21
SYOj16216,UC_YO1yjS2,UC_YO22yjS23,2021-05-01
SYOj17217,UC_YO1yjS2,UC_YO173yjS174,2023-03-04
SYOj18218,UC_YO1yjS2,UC_YO21yjS22,2022-08-29
SYOj19219,UC_YO1yjS2,UC_YO108yjS109,2022-03-21
SYOj20220,UC_YO1yjS2,UC_YO137yjS138,2021-06-02
SYOj21221,UC_YO1yjS2,UC_YO152yjS153,2022-10-15
SYOj22222,UC_YO1yjS2,UC_YO150yjS151,2022-06-22
SYOj23223,UC_YO1yjS2,UC_YO76yjS77,2021-09-03
SYOj24224,UC_YO1yjS2,UC_YO45yjS46,2023-01-14
SYOj25225,UC_YO1yjS2,UC_YO176yjS177,2021-07-11
SYOj26226,UC_YO1yjS2,UC_YO52yjS53,2021-06-02
SYOj27227,UC_YO1yjS2,UC_YO128yjS129,2021-09-06
SYOj28228,UC_YO1yjS2,UC_YO46yjS47,2023-07-18
SYOj29229,UC_YO1yjS2,UC_YO184yjS185,2022-02-26
SYOj30230,UC_YO1yjS2,UC_YO109yjS110,2021-10-23
SYOj31231,UC_YO1yjS2,UC_YO127yjS128,2020-03-12
SYOj32232,UC_YO1yjS2,UC_YO77yjS78,2021-09-10
SYOj33233,UC_YO1yjS2,UC_YO174yjS175,2020-09-18
SYOj34234,UC_YO1yjS2,UC_YO178yjS179,2021-06-06
SYOj35235,UC_YO1yjS2,UC_YO57yjS58,2020-04-07
SYOj36236,UC_YO1yjS2,UC_YO72yjS73,2023-12-20
SYOj37237,UC_YO1yjS2,UC_YO108yjS109,2021-10-03
SYOj38238,UC_YO1yjS2,UC_YO131yjS132,2023-12-13
SYOj39239,UC_YO1yjS2,UC_YO110yjS111,2021-08-12
SYOj40240,UC_YO1yjS2,UC_YO174yjS175,2022-06-09
SYOj41241,UC_YO1yjS2,UC_YO31yjS32,2021-07-20
SYOj42242,UC_YO1yjS2,UC_YO92yjS93,2024-03-09
SYOj43243,UC_YO1yjS2,UC_YO140yjS141,2020-08-02
SYOj44244,UC_YO1yjS2,UC_YO4yjS5,2022-01-25
SYOj45245,UC_YO1yjS2,UC_YO39yjS40,2021-07-12
SYOj46246,UC_YO1yjS2,UC_YO106yjS107,2023-10-03
SYOj47247,UC_YO1yjS2,UC_YO118yjS119,2023-06-13
SYOj48248,UC_YO1yjS2,UC_YO108yjS109,2020-03-25
SYOj49249,UC_YO1yjS2,UC_YO22yjS23,2023-09-18
SYOj50250,UC_YO2yjS3,UC_YO5yjS6,2021-06-29
SYOj51251,UC_YO2yjS3,UC_YO49yjS50,2023-06-05
SYOj52252,UC_YO2yjS3,UC_YO21yjS22,2022-04-28
SYOj53253,UC_YO2yjS3,UC_YO61yjS62,2022-07-27
SYOj54254,UC_YO2yjS3,UC_YO4yjS5,2023-11-10
SYOj55255,UC_YO2yjS3,UC_YO35yjS36,2022-07-02
SYOj56256,UC_YO2yjS3,UC_YO182yjS183,2020-01-03
SYOj57257,UC_YO2yjS3,UC_YO27yjS28,2022-07-18
SYOj58258,UC_YO2yjS3,UC_YO10yjS11,2022-11-28
SYOj59259,UC_YO2yjS3,UC_YO151yjS152,2024-01-06
SYOj60260,UC_YO2yjS3,UC_YO45yjS46,2020-10-23
SYOj61261,UC_YO2yjS3,UC_YO166yjS167,2022-10-01
SYOj62262,UC_YO2yjS3,UC_YO145yjS146,2023-07-19
SYOj63263,UC_YO2yjS3,UC_YO73yjS74,2021-10-01
SYOj64264,UC_YO2yjS3,UC_YO32yjS33,2023-11-04
SYOj65265,UC_YO2yjS3,UC_YO110yjS111,2021-04-13
SYOj66266,UC_YO3yjS4,UC_YO75yjS76,2023-03-16
SYOj67267,UC_YO3yjS4,UC_YO42yjS43,2023-06-04
SYOj68268,UC_YO3yjS4,UC_YO166yjS167,2023-08-31
SYOj69269,UC_YO3yjS4,UC_YO57yjS58,2022-11-11
SYOj70270,UC_YO3yjS4,UC_YO46yjS47,2020-08-01
