video_id,user_id,title,description,upload_date,duration,views,status
VYOjWN1yjS23201,UC_YO172yjS173,Interview usually cover spend.,Movie system late event own meet attention. Else carry value task pick suffer every. Just health hope learn performance some for.,2020-12-26,1434,9621964,Limited or no ads
VYOjWN2yjS34202,UC_YO125yjS126,End final major nature actually news.,Force choice go expert. Feel well interview sell result family future economic. Arm business course range everything wife.,2021-11-08,374,4552734,Unlisted
VYOjWN3yjS45203,UC_YO153yjS154,Behind goal drive determine region.,"Experience data seek tonight you close among. First compare tell future fast arrive election.
Sport whole life tell. Father deal place effort.",2022-10-25,1068,6572493,Age Restricted
VYOjWN4yjS56204,UC_YO164yjS165,Contain method play show try arrive term.,"Fund same laugh open within money. Serve particularly join situation door. Realize share magazine lay close summer. Majority pretty way baby.
Writer national strong. Dream after up wind.",2022-02-14,754,2534638,Private
VYOjWN5yjS67205,UC_YO15yjS16,Process eight us sometimes tonight between industry door.,"Pull significant rise owner church. Board notice wrong order.
Build improve television exactly authority top.
Close person weight per message.",2022-09-27,903,4288885,Age Restricted
VYOjWN6yjS78206,UC_YO27yjS28,Meeting kind record one.,"Accept last life remain beat every. Value politics knowledge move lose no down why.
Hundred much deal surface will likely. Moment team final especially. Note itself bring especially.",2024-02-28,899,9226553,Draft
VYOjWN7yjS89207,UC_YO110yjS111,Seek base put say a woman.,"Help outside here own argue. Interest quality day say onto day avoid. Whatever fear direction town paper item.
Speak mention week situation. City list finally.",2023-04-12,1845,2055351,Monetized
VYOjWN8yjS910208,UC_YO198yjS199,Address market talk option up.,"Economy research war stuff consider. Development American support in appear.
Anything middle model goal present group who. Score others bank writer read.",2023-12-15,2645,4508097,Processing
VYOjWN9yjS1011209,UC_YO47yjS48,Walk whom return middle ahead throw prove determine.,"Book PM force us. Left scene evening pick organization enter mind.
Others grow year career majority side choose. Attorney tell public American yet six little. Heart car ahead green.",2020-11-17,2690,7008721,Limited or no ads
VYOjWN10yjS1112210,UC_YO145yjS146,Government computer wall they life.,Better to mean safe could cover. Mention single rich particular second important.,2022-09-28,1158,3071886,Draft
VYOjWN11yjS1213211,UC_YO174yjS175,Consider Republican appear wish interview physical go.,"Us reflect cell us hospital. Difference live any.
Six area expect audience speak design page. Coach interest whose new government prepare.",2021-03-03,925,554580,Not monetized
VYOjWN12yjS1314212,UC_YO91yjS92,Everyone character loss miss get choose.,"Understand whole unit beautiful near agree. Per edge laugh middle.
Add raise continue everything stock car treatment. Suggest I which against beyond stop player.",2022-04-25,3181,2901404,Blocked
VYOjWN13yjS1415213,UC_YO30yjS31,Society sometimes attorney reality must create back political.,"Might father part question accept sit. Task their high.
Rich away threat different four. Ball light fly exactly record. Point range inside as event give organization until.",2023-07-24,2847,1718622,Draft
VYOjWN14yjS1516214,UC_YO100yjS101,Teach one also large heart.,Movement during toward tonight leg catch every. Red find court director improve husband. Begin clearly accept another ever interview.,2022-08-05,1116,1255043,Private
VYOjWN15yjS1617215,UC_YO3yjS4,Mouth interest president could note southern oil series.,"Herself camera down catch detail for develop. Indicate actually hour paper yard. Land music later about.
Bad authority both until interest whose. Poor shoulder yet audience money admit large.",2023-12-19,2739,2176385,Limited or no ads
VYOjWN16yjS1718216,UC_YO50yjS51,Manager picture send community car future.,"Green must none eight focus hold strategy.
Key wait relationship write next put do. Not debate outside herself save pressure fire. Along husband the say any red difference.",2022-03-21,2920,3318023,Unlisted
VYOjWN17yjS1819217,UC_YO163yjS164,People wonder few establish picture western machine happy.,"Protect reach like article. Home process scientist call. Next law short reach.
Item institution might brother. Green produce management usually. Movement still though yeah perhaps play born.",2023-05-16,1299,5937420,Copyright Claim
VYOjWN18yjS1920218,UC_YO118yjS119,Town argue physical cause exist same nearly.,Political however recently weight. View computer life born. Dream identify enough number history send model.,2020-06-04,196,4564122,Age Restricted
VYOjWN19yjS2021219,UC_YO55yjS56,Whom continue itself yeah.,"Draw trouble wife focus baby movement tend institution. Forget concern sea onto war Republican drive.
Take it know camera much. Practice name degree. Any two baby.",2020-06-12,2484,5488179,Monetized
VYOjWN20yjS2122220,UC_YO48yjS49,Green establish work structure service.,Company education movie blood wonder crime like court. Have control everything official. Forget system her big.,2023-09-21,1251,4631818,Unlisted
VYOjWN21yjS2223221,UC_YO171yjS172,Friend read according investment race certain.,"End who politics question father return.
Walk since threat young maintain knowledge boy. Man simple hit then.
Action carry machine standard from two force. Including fly quality fast.",2021-09-14,3470,1881493,Copyright Claim
VYOjWN22yjS2324222,UC_YO167yjS168,Own wait include everyone.,"Measure education various five. Fly almost media share. For hit occur nearly authority drop.
Phone worry miss hold good garden.",2021-11-01,190,1627099,Copyright Claim
VYOjWN23yjS2425223,UC_YO58yjS59,Sense treatment my nothing he.,"Stock begin difficult matter source. Force require wind full dark bank.
Scientist teacher check back. Over different maintain realize guy wife side.",2024-01-13,3292,7628851,Blocked
VYOjWN24yjS2526224,UC_YO138yjS139,Edge always challenge wait partner.,"Brother seek beyond happy television value. Address treat whether activity special education such us. Space particularly station from center civil phone.
Ahead wind to operation sister fish card.",2023-12-15,809,1443608,Copyright Claim
VYOjWN25yjS2627225,UC_YO127yjS128,On value traditional water two relationship face.,"School first support become ready sell rise. Walk mean argue very.
Thank media wait shake. Wife both stage movie within policy whatever.",2020-04-26,3348,5782705,Public
VYOjWN26yjS2728226,UC_YO133yjS134,Level draw civil community agent yourself age threat.,"Have board car call suffer. Middle service town set camera father season.
Shake second enjoy. Test our environmental college PM. Sister task leave imagine scientist pay human environment.",2022-05-29,3260,2517794,Draft
VYOjWN27yjS2829227,UC_YO14yjS15,Service player vote.,"Rather activity close fact up reduce.
Particularly television talk manage whether activity window west.",2023-03-31,3167,5525479,Copyright Claim
VYOjWN28yjS2930228,UC_YO119yjS120,Group whether media minute.,"Democratic computer charge effort. Use across city.
Book call share by. Step get degree political. Number financial name upon travel site. Wonder begin they hope.",2022-03-10,3295,4284439,Processing
VYOjWN29yjS3031229,UC_YO18yjS19,It science discover store with main.,Of visit physical. Lay argue we four avoid suddenly dinner. Surface ground town figure prepare try box same.,2020-08-14,3371,5756265,Public
VYOjWN30yjS3132230,UC_YO155yjS156,Itself there behavior ago often fish hour high.,"True spring role growth bill specific author write. Free amount compare.
Suggest fast wonder government north no. Conference way during his. Like final operation else need finish worry.",2020-07-20,2979,891743,Live
VYOjWN31yjS3233231,UC_YO185yjS186,Glass what example choose food feeling professor.,Bit event like debate another focus. Person real stand require ago. Make recognize during mouth PM along feeling.,2023-01-23,3470,2318279,Live
VYOjWN32yjS3334232,UC_YO168yjS169,Technology similar reality continue receive station how international.,"According perform economic morning. Campaign focus rest resource. Again color since green.
However ago hundred commercial. Together half office clearly. Television claim memory effort apply writer.",2022-04-14,1567,3859623,Draft
VYOjWN33yjS3435233,UC_YO29yjS30,Toward off stand sport purpose.,Focus full present film unit improve. Coach from use structure interesting. Draw newspaper never cost study.,2023-10-28,1611,8739982,Blocked
VYOjWN34yjS3536234,UC_YO73yjS74,Since sport too pressure mouth.,"Pass office plant. Imagine street success value indicate it or. Choose clearly woman central federal.
Five fight scientist friend. But year according career. Through follow think parent.",2020-04-21,1554,8725640,Not monetized
VYOjWN35yjS3637235,UC_YO72yjS73,Color floor right side movement lot spend.,"These woman coach name may. Painting these last front from notice store ok. Real ever own person possible onto.
Throughout for interest significant. Kind where case trouble standard meet law.",2021-11-27,1650,1574621,Live
VYOjWN36yjS3738236,UC_YO66yjS67,Tend ability very matter four hair gas.,"Environment talk human present stuff sort. Born where reason ever this system around. Gas reveal even.
Particularly nearly key worker stock. Test source bit movie.",2021-10-22,3210,4730429,Monetized
VYOjWN37yjS3839237,UC_YO20yjS21,Despite television crime wrong method.,Behavior hundred friend add example article letter. Outside establish thought show culture exist theory at.,2021-07-03,746,6215138,Public
VYOjWN38yjS3940238,UC_YO71yjS72,Base strategy charge never through compare.,"Wind take available pick. Society color east these environmental it.
East four occur eight subject attack soldier. International understand soldier get.",2020-02-21,1144,7836572,Live
VYOjWN39yjS4041239,UC_YO171yjS172,Notice season begin task our coach move.,"A those rule instead sort. Physical couple Mr but agreement recognize today.
Reduce meeting agree claim. Together show rule activity song contain. Someone almost hold.",2021-11-29,2827,4577988,Scheduled
VYOjWN40yjS4142240,UC_YO100yjS101,Water small expert choose.,Bill spring right country see. Door to tend. Stage dog key teach call.,2022-11-17,2492,8695741,Not monetized
VYOjWN41yjS4243241,UC_YO136yjS137,Election drop win tree carry them.,"Either either responsibility. Bag truth record war.
Voice new amount people try single civil. Performance then charge second half contain.",2023-11-07,1718,8527371,Processing
VYOjWN42yjS4344242,UC_YO106yjS107,Fear billion finish ten doctor father.,Federal beautiful finish attention. Finally movie provide population. Case call watch Mrs create there. Note age last happy material result military heavy.,2023-08-01,904,3843309,Scheduled
VYOjWN43yjS4445243,UC_YO186yjS187,Long effort although difficult.,"Wait step hard item support we. Think establish generation. Under operation education conference lawyer yeah maintain.
On everybody election suddenly item.",2023-09-16,3350,2113347,Processing
VYOjWN44yjS4546244,UC_YO132yjS133,Around participant more blue necessary poor boy.,"Young customer total space. Different home how glass task almost.
Up lay reveal. National east debate throw.",2021-09-01,2425,1690526,Monetized
VYOjWN45yjS4647245,UC_YO52yjS53,Most and return recently.,Book player machine compare trial alone father. Interesting future road apply stock low heart. Provide water call around line operation line claim.,2023-01-04,2059,3884344,Processing
VYOjWN46yjS4748246,UC_YO165yjS166,Else detail speech address admit hour crime.,"Man among man system weight almost. Sometimes data save site for. Mission goal child.
While nice media it though. By ready trip could until.",2021-11-24,3496,9533945,Processing
VYOjWN47yjS4849247,UC_YO66yjS67,West customer something least society some.,"Second church material player animal. Ready man your against.
In recognize party rich want administration. Modern investment least part church. Low determine book wide health.",2021-08-21,1986,4799596,Copyright Claim
VYOjWN48yjS4950248,UC_YO74yjS75,Cultural focus professional feeling democratic.,"They capital stop. Dog matter bit way herself notice.
Develop several night realize itself our. Go value citizen pull test.",2022-06-08,179,2296453,Limited or no ads
VYOjWN49yjS5051249,UC_YO193yjS194,Hand tend would.,Wife put lose miss wait raise writer official. Movement high involve weight tell. Laugh Congress performance last ahead energy.,2020-12-12,1944,3700822,Scheduled
VYOjWN50yjS5152250,UC_YO15yjS16,Figure across pull turn bring view old.,Us board own late day sense knowledge. Happen class population long star.,2021-12-29,2914,6187483,Age Restricted
VYOjWN51yjS5253251,UC_YO17yjS18,Relate easy cultural heavy.,"Sort usually sport employee position. With world response involve air ability name. Too change along service listen together seven. About sport image.
Ok this place hour do.",2022-11-29,1264,1930017,Live
VYOjWN52yjS5354252,UC_YO177yjS178,Whose red moment hospital soon six.,"Good where carry. Different through among condition Republican all reveal.
Ground teacher oil describe seven. Strong friend game thousand run. Huge low movement focus. Guy fast executive right.",2023-11-14,442,2489096,Blocked
VYOjWN53yjS5455253,UC_YO176yjS177,Writer future at executive professor technology.,"Along father remain. Some past couple lead red environmental.
Song song machine budget else. Now second win. Make financial Republican stand goal.
Else scene understand. Hour remember truth moment.",2020-06-21,1125,6493758,Draft
VYOjWN54yjS5556254,UC_YO130yjS131,Kid piece executive debate parent.,Voice model just glass trade speak week. Fill enough coach tell either old. Despite particular yes travel. Goal describe many direction speak.,2020-10-10,34,7939943,Not monetized
VYOjWN55yjS5657255,UC_YO12yjS13,None suffer road because clearly evening government.,Race exist support test which. Indicate west interest whose represent discover around. Personal goal condition fight increase party issue.,2021-01-11,1900,7635140,Scheduled
VYOjWN56yjS5758256,UC_YO59yjS60,Party different across evidence fish.,Door sometimes need. Instead experience sing something teach but table.,2023-04-05,3437,5062130,Private
VYOjWN57yjS5859257,UC_YO96yjS97,System boy third and.,Which send nature nation which your. Theory picture itself difference thousand sign finish treat.,2020-09-25,99,5609802,Live
VYOjWN58yjS5960258,UC_YO30yjS31,Region foreign style across.,Room inside price choose short bag. Including prove treat simple test officer school interview.,2023-06-20,2166,9959036,Processing
VYOjWN59yjS6061259,UC_YO153yjS154,Rather today inside perhaps color.,"Ready off your thought clearly tonight. My back drug task town professional. Spring they camera.
Since likely professor save. Small bring change wall win after.",2020-11-23,2301,9106904,Live
VYOjWN60yjS6162260,UC_YO188yjS189,Chair yet reality.,Next challenge then half. Technology account democratic run. Act house officer education.,2023-08-29,158,911886,Scheduled
VYOjWN61yjS6263261,UC_YO147yjS148,Indeed spring relate.,"Clearly rock trip play environmental. Fish others look those. Authority student during theory.
Foreign style agree staff avoid. Theory perhaps decision common itself. Teach box summer idea structure.",2021-10-01,2388,8047688,Blocked
VYOjWN62yjS6364262,UC_YO79yjS80,Remain audience bar office yes send.,"Reflect movement number possible suddenly not. Left a just left sing.
Employee town cup mention. Boy wait soldier your few.
Open sea investment song. You subject they skill nice.",2020-12-06,1709,6214284,Blocked
VYOjWN63yjS6465263,UC_YO86yjS87,Probably step become because front reduce.,Than sell environment nothing often. Western clear since generation news she on whatever. Wall day parent ever.,2021-03-31,1200,2026641,Private
VYOjWN64yjS6566264,UC_YO147yjS148,Reveal bring she various itself.,"Store agreement into task police worker exactly store. Fall can voice group family purpose.
None black feeling quite. Rather common spring realize war whom.",2022-06-15,2202,6387739,Public
VYOjWN65yjS6667265,UC_YO69yjS70,Shoulder particularly analysis.,"Modern standard change star sport discover. Fund surface discuss a record. Mouth room onto fact coach.
Social example decision themselves health expect stop. Ball hit threat behind this.",2024-01-31,743,6140755,Private
VYOjWN66yjS6768266,UC_YO64yjS65,Pay body read agree.,"Message consumer really. Attack make newspaper war financial represent court.
Mention writer sense admit if relate. His activity party floor hand. Study lawyer nature that during parent truth.",2023-04-23,1284,6263020,Scheduled
VYOjWN67yjS6869267,UC_YO181yjS182,Night follow among present amount movement.,"To year sound cup well. Mind each green life continue.
Reality close attention economy generation success recently economic. Contain bill activity carry those bank begin.",2023-09-05,1399,4498215,Age Restricted
VYOjWN68yjS6970268,UC_YO89yjS90,Woman week story safe smile special.,"Dog customer evidence everybody. Case spring case provide phone.
Military ready action. Compare condition field hand.",2023-08-11,1602,4379905,Monetized
VYOjWN69yjS7071269,UC_YO41yjS42,City accept discover teacher several suddenly article.,Research near her trade eight. Beautiful lead a finally interesting no. Site continue later unit material.,2023-04-04,1531,440656,Not monetized
VYOjWN70yjS7172270,UC_YO36yjS37,Section office rather add.,"Pick forward person late true music wonder.
Area my party listen person carry likely view. Risk both system unit condition bit end. Face full create computer deal social speak. Fight blood little.",2023-10-20,3050,8573063,Scheduled
