category_id,category_name
CT_YO0,Seek
CT_YO1,System
CT_YO2,Investment
CT_YO3,Film
CT_YO4,Stand
CT_YO5,Agency
CT_YO6,Page
CT_YO7,Adult
CT_YO8,Author
CT_YO9,Anyone
CT_YO10,Rock
CT_YO11,Born
CT_YO12,Against
CT_YO13,Finish
CT_YO14,Democratic
CT_YO15,Job
CT_YO16,Senior
CT_YO17,Smile
CT_YO18,Throughout
CT_YO19,Staff
CT_YO20,By
CT_YO21,Debate
CT_YO22,Television
CT_YO23,Determine
CT_YO24,Next
CT_YO25,Go
CT_YO26,Great
CT_YO27,Visit
CT_YO28,Kitchen
CT_YO29,Type
CT_YO30,Mouth
CT_YO31,Magazine
CT_YO32,Form
CT_YO33,End
CT_YO34,Give
CT_YO35,Trade
CT_YO36,Bed
CT_YO37,Enough
CT_YO38,Decision
CT_YO39,Close
CT_YO40,Cost
CT_YO41,Size
CT_YO42,Learn
CT_YO43,Itself
CT_YO44,Professional
CT_YO45,Money
CT_YO46,Social
CT_YO47,Place
CT_YO48,Subject
CT_YO49,Know
