like_id,user_id,video_id
LYO100,UC_YO28yjS29,VYOjWN1yjS23201
LYO102,UC_YO59yjS60,VYOjWN1yjS23201
LYO103,UC_YO150yjS151,VYOjWN1yjS23201
LYO104,UC_YO112yjS113,VYOjWN1yjS23201
LYO105,UC_YO42yjS43,VYOjWN1yjS23201
LYO106,UC_YO19yjS20,VYOjWN1yjS23201
LYO107,UC_YO108yjS109,VYOjWN1yjS23201
LYO108,UC_YO72yjS73,VYOjWN1yjS23201
LYO109,UC_YO77yjS78,VYOjWN1yjS23201
LYO110,UC_YO36yjS37,VYOjWN1yjS23201
LYO111,UC_YO129yjS130,VYOjWN1yjS23201
LYO112,UC_YO175yjS176,VYOjWN1yjS23201
LYO113,UC_YO200yjS201,VYOjWN1yjS23201
LYO114,UC_YO174yjS175,VYOjWN1yjS23201
LYO115,UC_YO6yjS7,VYOjWN1yjS23201
LYO116,UC_YO109yjS110,VYOjWN1yjS23201
LYO117,UC_YO111yjS112,VYOjWN1yjS23201
LYO120,UC_YO69yjS70,VYOjWN1yjS23201
LYO121,UC_YO34yjS35,VYOjWN1yjS23201
LYO122,UC_YO41yjS42,VYOjWN1yjS23201
LYO123,UC_YO110yjS111,VYOjWN1yjS23201
LYO124,UC_YO33yjS34,VYOjWN2yjS34202
LYO125,UC_YO22yjS23,VYOjWN3yjS45203
LYO126,UC_YO145yjS146,VYOjWN3yjS45203
LYO127,UC_YO141yjS142,VYOjWN3yjS45203
LYO128,UC_YO67yjS68,VYOjWN3yjS45203
LYO129,UC_YO60yjS61,VYOjWN3yjS45203
LYO130,UC_YO153yjS154,VYOjWN3yjS45203
LYO131,UC_YO156yjS157,VYOjWN3yjS45203
LYO132,UC_YO143yjS144,VYOjWN3yjS45203
LYO133,UC_YO9yjS10,VYOjWN3yjS45203
LYO134,UC_YO31yjS32,VYOjWN3yjS45203
LYO135,UC_YO196yjS197,VYOjWN3yjS45203
LYO136,UC_YO50yjS51,VYOjWN3yjS45203
LYO138,UC_YO169yjS170,VYOjWN3yjS45203
LYO139,UC_YO170yjS171,VYOjWN3yjS45203
LYO140,UC_YO8yjS9,VYOjWN3yjS45203
LYO141,UC_YO74yjS75,VYOjWN3yjS45203
LYO142,UC_YO120yjS121,VYOjWN3yjS45203
LYO143,UC_YO26yjS27,VYOjWN3yjS45203
LYO144,UC_YO1yjS2,VYOjWN3yjS45203
LYO145,UC_YO62yjS63,VYOjWN3yjS45203
LYO147,UC_YO116yjS117,VYOjWN4yjS56204
LYO148,UC_YO23yjS24,VYOjWN4yjS56204
LYO149,UC_YO71yjS72,VYOjWN4yjS56204
LYO150,UC_YO88yjS89,VYOjWN4yjS56204
LYO151,UC_YO182yjS183,VYOjWN4yjS56204
LYO152,UC_YO171yjS172,VYOjWN4yjS56204
LYO153,UC_YO95yjS96,VYOjWN4yjS56204
LYO154,UC_YO10yjS11,VYOjWN5yjS67205
LYO155,UC_YO171yjS172,VYOjWN5yjS67205
LYO156,UC_YO155yjS156,VYOjWN5yjS67205
LYO157,UC_YO79yjS80,VYOjWN5yjS67205
LYO158,UC_YO188yjS189,VYOjWN5yjS67205
LYO159,UC_YO198yjS199,VYOjWN5yjS67205
LYO160,UC_YO90yjS91,VYOjWN5yjS67205
LYO161,UC_YO145yjS146,VYOjWN5yjS67205
LYO162,UC_YO141yjS142,VYOjWN5yjS67205
LYO163,UC_YO101yjS102,VYOjWN5yjS67205
LYO164,UC_YO35yjS36,VYOjWN5yjS67205
LYO165,UC_YO192yjS193,VYOjWN5yjS67205
LYO166,UC_YO144yjS145,VYOjWN5yjS67205
LYO167,UC_YO105yjS106,VYOjWN5yjS67205
LYO168,UC_YO65yjS66,VYOjWN5yjS67205
LYO169,UC_YO96yjS97,VYOjWN5yjS67205
LYO170,UC_YO27yjS28,VYOjWN5yjS67205
LYO171,UC_YO1yjS2,VYOjWN5yjS67205
LYO172,UC_YO78yjS79,VYOjWN5yjS67205
LYO175,UC_YO123yjS124,VYOjWN6yjS78206
